Tipo,Endereço,Área,Preço,Etiqueta,Código Viva Real
Imóvel Novo,"Rua Barão Geraldo de Resende, 850 - Vila Itapura, Campinas - SP",36-57,De R$ 341.140 até R$ 628.380 R$ 341.140,Na planta,2558197775
Imóvel Novo,"Rua Nuporanga, 40 - Cambuí, Campinas - SP",81-98,R$ 788.000,Na planta,2565686366
Imóvel Novo,"Rodovia Governador Doutor Adhemar Pereira de Barros, s/n - Loteamento Alphaville Campinas, Campinas - SP",360,De R$ 420.000 até R$ 650.000 R$ 420.000,Na planta,2558213090
Imóvel Novo,"Avenida Barão de Itapura, 610 - Botafogo, Campinas - SP",36-47,R$ 634.756,Pronto para morar,2557379989
Imóvel Novo,"Rua Arquiteto José Augusto Silva, 1200 - Fazenda Santa Cândida, Campinas - SP",55-70,De R$ 519.170 até R$ 888.146 R$ 519.170,Em construção,2558209178
Imóvel Novo,"Avenida Oswaldo Von Zuben, 134 - Bairro das Palmeiras, Campinas - SP",165,R$ 1.250.000,Em construção,2545377883
Imóvel Novo,"Avenida Wellman Galvão de França Rangel, 4200 - Swiss Park, Campinas - SP",66,De R$ 489.750 até R$ 676.800 R$ 489.750,Em construção,2512180173
Imóvel Novo,"Rua Padre Almeida, 652 - Cambuí, Campinas - SP",162-189,R$ 1.900.000,Na planta,2565688757
Imóvel Novo,"Rua Barreto Leme, 2175 - Cambuí, Campinas - SP",256,R$ 4.282.000,Em construção,2551531166
Imóvel Novo,"Avenida Barão de Itapura, 850 - Botafogo, Campinas - SP",36-58,R$ 355.080,Na planta,2557379799
Imóvel Novo,"Rua Barreto Leme, 2175 - Cambuí, Campinas - SP",256,R$ 4.039.000,Em construção,2557374071
Imóvel Novo,"Rodovia Governador Doutor Adhemar Pereira de Barros, 119 - Fazenda Pau D'Alho, Campinas - SP",360,Sob Consulta,Em construção,2563467427
Imóvel Novo,"Rua José Decourt Homem de Mello, 196 - Bosque das Palmeiras, Campinas - SP",138,R$ 1.299.900,Em construção,2557381766
Imóvel Novo,"Rua José Villagelin Júnior, 155 - Cambuí, Campinas - SP",178,R$ 2.190.000,Pronto para morar,2559180762
Imóvel Novo,"Rua João Batista Pupo de Moraes, 485 - Parque Industrial, Campinas - SP",67,Sob Consulta,Na planta,2573214273
Imóvel Novo,"Estrada Sousas-Pedreira, s/n - Sousas, Campinas - SP",250,R$ 383.900,Em construção,2558194585
Imóvel Novo,"Rua Coronel Francisco Andrade Coutinho, 112 - Cambuí, Campinas - SP",126-221,R$ 1.350.000,Na planta,2552412658
Imóvel Novo,"Rua Doutor Emílio Ribas, 314 - Cambuí, Campinas - SP",157-281,R$ 2.042.456,Em construção,2529413728
Imóvel Novo,"Rua Piquete, 678 - Jardim Itamarati, Campinas - SP",56-58,R$ 564.000,Na planta,2512182194
Imóvel Novo,"Rua Antônio Lapa, 118 - Cambuí, Campinas - SP",139-285,R$ 1.593.239,Na planta,2552508299
Imóvel Novo,"Avenida Antônio Carlos Couto de Barros, 7 - Sousas, Campinas - SP",450-2000,De R$ 647.326 até R$ 2.342.697 R$ 647.326,Em construção,2512178720
Imóvel Novo,"Avenida Isaura Roque Quércia, S/N - Parque São Quirino, Campinas - SP",459-580,Sob Consulta,Na planta,2528361677
Imóvel Novo,"Avenida Orosimbo Maia, 430 - Vila Itapura, Campinas - SP",39,R$ 191.500,Pronto para morar,2527816397
Imóvel Novo,"Rua Aguinaldo Xavier de Souza, 121 - Loteamento Parque São Martinho, Campinas - SP",64-66,R$ 398.690,Em construção,2552507096
Imóvel Novo,"Rua das Lantanas, s/n - Alphaville Dom Pedro, Campinas - SP",222-269,R$ 2.334.800,Na planta,2551529571
Imóvel Novo,"Rua Santa Rita do Passa Quatro, 355 - Jardim Nova Europa, Campinas - SP",37-47,R$ 222.690,Em construção,2530927573
Imóvel Novo,"Rodovia Governador Doutor Adhemar Pereira de Barros, s/n - Loteamento Alphaville Campinas, Campinas - SP",360-700,De R$ 450.000 até R$ 823.687 R$ 450.000,Em construção,2565687726
Imóvel Novo,"Rua Doutor Antônio Sousa Campos, 183 - Cambuí, Campinas - SP",129-258,R$ 1.617.563,Pronto para morar,2513807380
Imóvel Novo,"Rua Romilda Aparecida Cruz, 10 - Residencial Jatibela, Campinas - SP",260-317,R$ 422.290,Em construção,2553452024
Imóvel Novo,"Avenida Brasil, 590 - Jardim Guanabara, Campinas - SP",67-217,De R$ 703.108 até R$ 1.629.919 R$ 703.108,Pronto para morar,2558217122
Imóvel Novo,"Rua Nuporanga, s/n - Chácara da Barra, Campinas - SP",81-96,De R$ 699.000 até R$ 984.000 R$ 699.000,Na planta,2558213159
Imóvel Novo,"Avenida Aquidabã, 280 - Vila Lídia, Campinas - SP",45,R$ 300.000,Na planta,2540372187
Imóvel Novo,"Rua Antônia Frutuosa Felisbino, 2220 - Cidade Satélite Íris, Campinas - SP",175,R$ 81.320,Pronto para morar,2509707767
Imóvel Novo,"Avenida João Batista Morato do Canto, 449 - Fundação da Casa Popular, Campinas - SP",45-54,R$ 261.490,Em construção,2451892073
Imóvel Novo,"Avenida Isaura Roque Quércia - Loteamento Residencial Entre Verdes Sousas, Campinas - SP",1000,R$ 750.000,Pronto para morar,2559171965
Imóvel Novo,"Rodovia Governador Doutor Adhemar Pereira de Barros, S/N - Jardim Myrian Moreira da Costa, Campinas - SP",360-700,R$ 426.600,Em construção,2528357777
Imóvel Novo,"Rua Santa Rita do Passa Quatro, 255 - Jardim Nova Europa, Campinas - SP",45-54,R$ 286.690,Em construção,2507618685
Imóvel Novo,"Avenida João Batista Morato do Canto, 772 - Vila Anhangüera, Campinas - SP",45-54,R$ 294.990,Na planta,2538106064
Imóvel Novo,"Rodovia Governador Doutor Adhemar Pereira de Barros, KM 119 - Fazenda Pau D'Alho, Campinas - SP",360,R$ 427.000,Em construção,2559173985
Imóvel Novo,"Avenida João Batista Morato do Canto, s/n - Vila Anhangüera, Campinas - SP",36-43,R$ 216.490,Na planta,2554372348
Imóvel Novo,"Rua Santa Cruz das Palmeiras, . - Jardim Nova Europa, Campinas - SP",37-47,R$ 230.990,Na planta,2545379982
Imóvel Novo,"Rua José do Patrocínio, 220 - Jardim Brasil, Campinas - SP",70-90,R$ 568.400,Na planta,2542383348
